CMDLINE python seraph.py -s /home/yangzq18/transparentC/squoosh/codecs/avif/dec/avif_dec.wasm -wasm -g -p xuperchain
MEM 0.828125 1620694516.8458
MEM 12.609375 1620694516.9462
MEM 19.667969 1620694517.0470
MEM 24.250000 1620694517.1473
MEM 33.183594 1620694517.2475
MEM 44.519531 1620694517.3478
MEM 49.246094 1620694517.4481
MEM 51.242188 1620694517.5484
MEM 55.992188 1620694517.6488
MEM 58.992188 1620694517.7490
MEM 62.109375 1620694517.8493
MEM 68.960938 1620694517.9497
MEM 72.156250 1620694518.0500
MEM 74.160156 1620694518.1504
MEM 77.960938 1620694518.2510
MEM 80.500000 1620694518.3513
MEM 84.363281 1620694518.4516
MEM 87.679688 1620694518.5519
MEM 89.742188 1620694518.6522
MEM 93.609375 1620694518.7525
MEM 95.679688 1620694518.8530
MEM 98.519531 1620694518.9534
MEM 101.621094 1620694519.0537
MEM 103.941406 1620694519.1540
MEM 106.515625 1620694519.2543
MEM 109.371094 1620694519.3550
MEM 109.628906 1620694519.4554
MEM 109.628906 1620694519.5557
MEM 109.628906 1620694519.6559
MEM 109.878906 1620694519.7563
MEM 112.039062 1620694519.8566
MEM 112.855469 1620694519.9569
MEM 116.203125 1620694520.0572
MEM 119.578125 1620694520.1575
MEM 120.089844 1620694520.2578
MEM 123.363281 1620694520.3582
MEM 127.230469 1620694520.4590
MEM 130.066406 1620694520.5596
MEM 133.160156 1620694520.6598
MEM 136.070312 1620694520.7602
MEM 139.937500 1620694520.8604
MEM 142.257812 1620694520.9607
MEM 153.253906 1620694521.0610
MEM 155.515625 1620694521.1613
MEM 156.960938 1620694521.2618
MEM 157.640625 1620694521.3624
MEM 162.132812 1620694521.4631
MEM 162.261719 1620694521.5634
MEM 170.027344 1620694521.6636
MEM 168.304688 1620694521.7640
MEM 168.304688 1620694521.8642
MEM 168.304688 1620694521.9646
MEM 168.304688 1620694522.0649
MEM 173.968750 1620694522.1653
MEM 173.968750 1620694522.2658
MEM 174.160156 1620694522.3663
MEM 174.257812 1620694522.4669
MEM 174.257812 1620694522.5672
MEM 174.289062 1620694522.6675
MEM 174.332031 1620694522.7677
MEM 174.332031 1620694522.8680
MEM 174.332031 1620694522.9685
MEM 174.410156 1620694523.0690
MEM 174.410156 1620694523.1695
MEM 174.480469 1620694523.2699
MEM 174.480469 1620694523.3702
MEM 174.480469 1620694523.4704
MEM 174.480469 1620694523.5710
MEM 174.582031 1620694523.6712
MEM 174.582031 1620694523.7715
MEM 174.582031 1620694523.8718
MEM 174.582031 1620694523.9721
MEM 174.640625 1620694524.0726
MEM 174.640625 1620694524.1729
MEM 174.640625 1620694524.2737
MEM 174.640625 1620694524.3742
MEM 174.640625 1620694524.4744
MEM 174.640625 1620694524.5750
MEM 174.640625 1620694524.6753
MEM 174.640625 1620694524.7756
MEM 174.640625 1620694524.8759
MEM 174.640625 1620694524.9762
MEM 174.640625 1620694525.0764
MEM 174.640625 1620694525.1768
MEM 174.789062 1620694525.2771
MEM 174.789062 1620694525.3774
MEM 174.789062 1620694525.4778
MEM 174.789062 1620694525.5782
MEM 174.789062 1620694525.6790
MEM 174.789062 1620694525.7792
MEM 174.789062 1620694525.8795
MEM 174.789062 1620694525.9798
MEM 174.789062 1620694526.0801
MEM 174.789062 1620694526.1804
MEM 174.789062 1620694526.2808
MEM 174.789062 1620694526.3811
MEM 174.789062 1620694526.4815
MEM 174.789062 1620694526.5820
MEM 174.789062 1620694526.6822
MEM 174.789062 1620694526.7830
MEM 174.789062 1620694526.8833
MEM 174.789062 1620694526.9836
MEM 174.789062 1620694527.0840
MEM 174.789062 1620694527.1843
MEM 174.789062 1620694527.2847
MEM 174.929688 1620694527.3849
MEM 174.929688 1620694527.4852
MEM 174.929688 1620694527.5855
MEM 174.960938 1620694527.6858
MEM 174.960938 1620694527.7860
MEM 174.960938 1620694527.8863
MEM 174.960938 1620694527.9869
MEM 174.960938 1620694528.0871
MEM 174.960938 1620694528.1874
MEM 174.960938 1620694528.2876
MEM 174.960938 1620694528.3879
MEM 174.960938 1620694528.4882
MEM 174.960938 1620694528.5885
